City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
582,Vallenar,CL,89.19,broken clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
586,Awbari,LY,81.05,clear sky,26.5921,12.7805,فندق أوباري
587,Piacabucu,BR,78.57,few clouds,-10.4056,-36.4344,Piaçabuçu News
588,Hamilton,US,85.35,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
594,Ilhabela,BR,75.99,few clouds,-23.7781,-45.3581,Ilha Flat Hotel
596,Bathsheba,BB,90.21,few clouds,13.2167,-59.5167,Atlantis Hotel
597,Itarema,BR,83.66,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
603,Honiara,SB,77.34,overcast clouds,-9.4333,159.95,Heritage Park Hotel
605,Nakhon Phanom,TH,75.67,clear sky,17.3333,104.4167,ป่ายางรีสอร์ท
606,Bera,BD,78.49,overcast clouds,24.0833,89.6167,Sohel Parvez
614,San Cristobal,VE,84.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
616,Pak Phanang,TH,81.07,light rain,8.3511,100.202,Green Park Inn Hotel
618,Roblin,CA,85.6,clear sky,51.23,-101.3565,Harvest Moon Inn
621,Moussoro,TD,86.95,broken clouds,13.6408,16.4901,Hôtel Maltina
623,Tomatlan,MX,81.23,overcast clouds,19.9333,-105.25,El Salvial
625,Tabanan,ID,77.4,broken clouds,-8.5413,115.1252,Casa Artista Hotel Bali
635,Gourcy,BF,89.73,few clouds,13.2167,-2.35,Auberge Gourcy
638,Fort Smith,US,91.44,clear sky,35.3859,-94.3986,Hampton Inn Fort Smith
642,Maragogi,BR,78.75,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
643,Umm Lajj,SA,80.69,clear sky,25.0213,37.2685,Moon light Furnished Units
645,Sierra Vista,US,78.82,broken clouds,31.5545,-110.3037,Sierra Vista Extended Stay Hotel
648,Magomeni,TZ,76.73,broken clouds,-6.8,39.25,Conway Hotel
652,Fort Dodge,US,87.46,clear sky,42.4975,-94.168,"Country Inn & Suites by Radisson, Fort Dodge, IA"
653,Fukuma,JP,75.29,broken clouds,33.7667,130.4667,Masago
656,Kutum,SD,83.48,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
662,Berbera,SO,92.21,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
663,Sabang,ID,80.37,overcast clouds,5.8933,95.3214,Hotel Citra
665,Las Vegas,US,88.48,smoke,36.175,-115.1372,Plaza Hotel & Casino
667,Pandan,PH,80.19,broken clouds,14.0453,124.1694,Bonifacio Lodge
669,Vaitape,PF,79.32,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
672,Gualaquiza,EC,79.05,light rain,-3.4,-78.55,Hotel Merceditas
673,Buraydah,SA,80.04,clear sky,26.326,43.975,فندق راحة السلام
677,Porto Novo,BJ,78.48,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
680,Natal,BR,83.05,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
681,Ishigaki,JP,82.44,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
683,Sidhi,IN,77.04,scattered clouds,24.4167,81.8833,Kamdhenu Sweets
684,Eyl,SO,78.64,few clouds,7.9803,49.8164,Amiin Hotel
685,La Sarrosa,HN,83.07,few clouds,15.2333,-87.8333,Hotel Brisas del Sur
686,Callaway,US,88.18,scattered clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
687,Bintulu,MY,77.23,overcast clouds,3.1667,113.0333,900 Boutique INN
689,Sao Felix Do Xingu,BR,90.27,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
690,Santa Rosa,PH,82.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
692,Fez,MA,77.25,clear sky,34.0372,-4.9998,Hotel Mounia Fès
693,Morant Bay,JM,86.67,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
698,Metro,ID,75.74,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
700,Dubai,AE,91.65,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
702,Binuangan,PH,75.42,overcast clouds,8.9153,124.7883,Binuangan Tourist Inn
708,Sohag,EG,81.3,clear sky,26.557,31.6948,Civil Registry - Sohag 1
710,Tullahoma,US,84.43,broken clouds,35.362,-86.2094,Quality Inn
713,Zambezi,ZM,75.96,clear sky,-13.5432,23.1047,Royal Kutachika Lodge
715,Columbus,US,79.54,few clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
